ReadingID,HomeID,LocalDeviceID,ConditionType,Value,Timestamp
R00121,homeA2014,S12,Cloudy,4.36,2014-01-05 09:00:00
R00122,homeA2014,S02,Thunderstorm,3.76,2014-01-05 10:00:00
R00123,homeA2014,S47,Sunny,2.26,2014-01-05 11:00:00
R00124,homeA2014,S99,Thunderstorm,1.34,2014-01-05 12:00:00
R00125,homeA2014,S81,Thunderstorm,1.99,2014-01-05 13:00:00
R00126,homeA2014,S66,Sunny,8.98,2014-01-05 14:00:00
R00127,homeA2014,S45,Thunderstorm,16.32,2014-01-05 15:00:00
R00128,homeA2014,S99,Rain,23.12,2014-01-05 16:00:00
R00129,homeA2014,S93,Rain,28.53,2014-01-05 17:00:00
R00130,homeA2014,S62,Thunderstorm,31.58,2014-01-05 18:00:00
R00131,homeA2014,S38,Sunny,34.01,2014-01-05 19:00:00
R00132,homeA2014,S08,Cloudy,35.35,2014-01-05 20:00:00
R00133,homeA2014,S88,Rain,35.4,2014-01-05 21:00:00
R00134,homeA2014,S71,Sunny,35.86,2014-01-05 22:00:00
R00135,homeA2014,S04,Rain,35.28,2014-01-05 23:00:00
R00136,homeA2014,S66,Thunderstorm,34.76,2014-01-06 00:00:00
R00137,homeA2014,S87,Windy,36.61,2014-01-06 01:00:00
R00138,homeA2014,S32,Cloudy,37.76,2014-01-06 02:00:00
R00139,homeA2014,S24,Rain,40.74,2014-01-06 03:00:00
R00140,homeA2014,S26,Cloudy,40.8,2014-01-06 04:00:00
R00141,homeA2014,S95,Windy,40.9,2014-01-06 05:00:00
R00142,homeA2014,S94,Windy,42.57,2014-01-06 06:00:00
R00143,homeA2014,S60,Windy,43.27,2014-01-06 07:00:00
R00144,homeA2014,S27,Thunderstorm,43.37,2014-01-06 08:00:00
R00145,homeA2014,S93,Rain,44.24,2014-01-06 09:00:00
R00146,homeA2014,S20,Rain,47.03,2014-01-06 10:00:00
R00147,homeA2014,S12,Thunderstorm,45.63,2014-01-06 11:00:00
R00148,homeA2014,S65,Thunderstorm,48.84,2014-01-06 12:00:00
R00149,homeA2014,S87,Cloudy,51.78,2014-01-06 13:00:00
R00150,homeA2014,S77,Thunderstorm,55.72,2014-01-06 14:00:00
R00151,homeA2014,S88,Windy,46.68,2014-01-06 15:00:00
R00152,homeA2014,S103,Windy,44.31,2014-01-06 16:00:00
R00153,homeA2014,S07,Rain,42.17,2014-01-06 17:00:00
R00154,homeA2014,S83,Sunny,36.1,2014-01-06 18:00:00
R00155,homeA2014,S07,Thunderstorm,33.88,2014-01-06 19:00:00
R00156,homeA2014,S100,Rain,33.38,2014-01-06 20:00:00
R00157,homeA2014,S30,Thunderstorm,31.15,2014-01-06 21:00:00
R00158,homeA2014,S79,Windy,29.73,2014-01-06 22:00:00
R00159,homeA2014,S37,Sunny,28.56,2014-01-06 23:00:00
R00160,homeA2014,S03,Windy,27.51,2014-01-07 00:00:00
R00161,homeA2014,S76,Sunny,25.81,2014-01-07 01:00:00
R00162,homeA2014,S37,Cloudy,24.71,2014-01-07 02:00:00
R00163,homeA2014,S56,Rain,23.4,2014-01-07 03:00:00
R00164,homeA2014,S66,Cloudy,21.36,2014-01-07 04:00:00
R00165,homeA2014,S76,Thunderstorm,15.76,2014-01-07 05:00:00
R00166,homeA2014,S06,Sunny,13.08,2014-01-07 06:00:00
R00167,homeA2014,S104,Windy,10.11,2014-01-07 07:00:00
R00168,homeA2014,S89,Windy,8.62,2014-01-07 08:00:00
R00169,homeA2014,S12,Sunny,7.41,2014-01-07 09:00:00
R00170,homeA2014,S51,Rain,6.3,2014-01-07 10:00:00
R00171,homeA2014,S84,Windy,5.26,2014-01-07 11:00:00
R00172,homeA2014,S11,Thunderstorm,4.93,2014-01-07 12:00:00
R00173,homeA2014,S100,Windy,3.75,2014-01-07 13:00:00
R00174,homeA2014,S37,Cloudy,5.25,2014-01-07 14:00:00
R00175,homeA2014,S05,Cloudy,5.37,2014-01-07 15:00:00
R00176,homeA2014,S01,Cloudy,6.42,2014-01-07 16:00:00
R00177,homeA2014,S84,Cloudy,5.88,2014-01-07 17:00:00
R00178,homeA2014,S56,Thunderstorm,6.08,2014-01-07 18:00:00
R00179,homeA2014,S37,Cloudy,5.94,2014-01-07 19:00:00
R00180,homeA2014,S67,Sunny,5.96,2014-01-07 20:00:00
R00181,homeA2014,S72,Rain,6.19,2014-01-07 21:00:00
R00182,homeA2014,S59,Windy,4.68,2014-01-07 22:00:00
R00183,homeA2014,S17,Thunderstorm,4.52,2014-01-07 23:00:00
R00184,homeA2014,S32,Windy,4.25,2014-01-08 00:00:00
R00185,homeA2014,S49,Thunderstorm,4.14,2014-01-08 01:00:00
R00186,homeA2014,S03,Rain,4.05,2014-01-08 02:00:00
R00187,homeA2014,S100,Thunderstorm,4.17,2014-01-08 03:00:00
R00188,homeA2014,S61,Cloudy,4.71,2014-01-08 04:00:00
R00189,homeA2014,S40,Cloudy,4.73,2014-01-08 05:00:00
R00190,homeA2014,S86,Cloudy,4.65,2014-01-08 06:00:00
R00191,homeA2014,S45,Cloudy,4.56,2014-01-08 07:00:00
R00192,homeA2014,S16,Cloudy,4.66,2014-01-08 08:00:00
R00193,homeA2014,S50,Cloudy,4.39,2014-01-08 09:00:00
R00194,homeA2014,S44,Windy,4.3,2014-01-08 10:00:00
R00195,homeA2014,S08,Cloudy,4.08,2014-01-08 11:00:00
R00196,homeA2014,S43,Thunderstorm,4.0,2014-01-08 12:00:00
R00197,homeA2014,S15,Sunny,4.74,2014-01-08 13:00:00
R00198,homeA2014,S83,Windy,7.43,2014-01-08 14:00:00
R00199,homeA2014,S19,Cloudy,10.26,2014-01-08 15:00:00
R00200,homeA2014,S97,Thunderstorm,12.39,2014-01-08 16:00:00
R00201,homeA2014,S76,Cloudy,14.55,2014-01-08 17:00:00
R00202,homeA2014,S12,Sunny,15.84,2014-01-08 18:00:00
R00203,homeA2014,S03,Sunny,17.5,2014-01-08 19:00:00
R00204,homeA2014,S77,Sunny,17.3,2014-01-08 20:00:00
R00205,homeA2014,S23,Rain,17.05,2014-01-08 21:00:00
R00206,homeA2014,S77,Sunny,14.6,2014-01-08 22:00:00
R00207,homeA2014,S103,Rain,13.49,2014-01-08 23:00:00
R00208,homeA2014,S19,Windy,12.01,2014-01-09 00:00:00
R00209,homeA2014,S08,Windy,10.57,2014-01-09 01:00:00
R00210,homeA2014,S82,Cloudy,10.92,2014-01-09 02:00:00
R00211,homeA2014,S103,Thunderstorm,11.74,2014-01-09 03:00:00
R00212,homeA2014,S103,Thunderstorm,12.15,2014-01-09 04:00:00
R00213,homeA2014,S89,Rain,13.63,2014-01-09 05:00:00
R00214,homeA2014,S29,Thunderstorm,13.68,2014-01-09 06:00:00
R00215,homeA2014,S18,Thunderstorm,13.44,2014-01-09 07:00:00
R00216,homeA2014,S48,Sunny,14.62,2014-01-09 08:00:00
R00217,homeA2014,S37,Cloudy,14.05,2014-01-09 09:00:00
R00218,homeA2014,S55,Windy,14.64,2014-01-09 10:00:00
R00219,homeA2014,S88,Thunderstorm,13.56,2014-01-09 11:00:00
R00220,homeA2014,S95,Sunny,14.24,2014-01-09 12:00:00
R00221,homeA2014,S95,Rain,14.89,2014-01-09 13:00:00
R00222,homeA2014,S26,Rain,17.18,2014-01-09 14:00:00
R00223,homeA2014,S31,Cloudy,19.77,2014-01-09 15:00:00
R00224,homeA2014,S63,Thunderstorm,22.04,2014-01-09 16:00:00
R00225,homeA2014,S21,Sunny,23.85,2014-01-09 17:00:00
R00226,homeA2014,S104,Sunny,24.33,2014-01-09 18:00:00
R00227,homeA2014,S37,Sunny,25.3,2014-01-09 19:00:00
R00228,homeA2014,S70,Thunderstorm,25.44,2014-01-09 20:00:00
R00229,homeA2014,S46,Thunderstorm,25.04,2014-01-09 21:00:00
R00230,homeA2014,S04,Windy,19.64,2014-01-09 22:00:00
R00231,homeA2014,S43,Cloudy,16.89,2014-01-09 23:00:00
R00232,homeA2014,S89,Thunderstorm,14.64,2014-01-10 00:00:00
R00233,homeA2014,S01,Rain,13.06,2014-01-10 01:00:00
R00234,homeA2014,S31,Sunny,11.57,2014-01-10 02:00:00
R00235,homeA2014,S71,Thunderstorm,11.05,2014-01-10 03:00:00
R00236,homeA2014,S14,Rain,9.63,2014-01-10 04:00:00
R00237,homeA2014,S60,Rain,9.78,2014-01-10 05:00:00
R00238,homeA2014,S87,Rain,10.19,2014-01-10 06:00:00
R00239,homeA2014,S59,Windy,12.51,2014-01-10 07:00:00
R00240,homeA2014,S39,Sunny,14.41,2014-01-10 08:00:00
R00241,homeA2014,S94,Rain,17.23,2014-01-10 09:00:00
R00242,homeA2014,S11,Rain,18.3,2014-01-10 10:00:00
R00243,homeA2014,S69,Rain,19.45,2014-01-10 11:00:00
R00244,homeA2014,S72,Rain,19.98,2014-01-10 12:00:00
R00245,homeA2014,S90,Thunderstorm,20.54,2014-01-10 13:00:00
R00246,homeA2014,S24,Windy,23.7,2014-01-10 14:00:00
R00247,homeA2014,S93,Rain,24.97,2014-01-10 15:00:00
R00248,homeA2014,S85,Thunderstorm,26.88,2014-01-10 16:00:00
R00249,homeA2014,S37,Thunderstorm,28.3,2014-01-10 17:00:00
R00250,homeA2014,S77,Sunny,31.09,2014-01-10 18:00:00
R00251,homeA2014,S75,Rain,32.7,2014-01-10 19:00:00
R00252,homeA2014,S74,Windy,33.14,2014-01-10 20:00:00
R00253,homeA2014,S92,Thunderstorm,32.57,2014-01-10 21:00:00
R00254,homeA2014,S75,Thunderstorm,30.72,2014-01-10 22:00:00
R00255,homeA2014,S06,Thunderstorm,30.19,2014-01-10 23:00:00
R00256,homeA2014,S38,Cloudy,31.31,2014-01-11 00:00:00
R00257,homeA2014,S25,Thunderstorm,30.08,2014-01-11 01:00:00
R00258,homeA2014,S08,Sunny,30.56,2014-01-11 02:00:00
R00259,homeA2014,S08,Sunny,31.44,2014-01-11 03:00:00
R00260,homeA2014,S56,Cloudy,32.5,2014-01-11 04:00:00
R00261,homeA2014,S39,Rain,32.57,2014-01-11 05:00:00
R00262,homeA2014,S79,Cloudy,33.41,2014-01-11 06:00:00
R00263,homeA2014,S25,Sunny,33.87,2014-01-11 07:00:00
R00264,homeA2014,S104,Windy,34.68,2014-01-11 08:00:00
R00265,homeA2014,S70,Rain,36.81,2014-01-11 09:00:00
R00266,homeA2014,S23,Windy,39.05,2014-01-11 10:00:00
R00267,homeA2014,S73,Cloudy,38.86,2014-01-11 11:00:00
R00268,homeA2014,S40,Windy,43.2,2014-01-11 12:00:00
R00269,homeA2014,S37,Rain,46.35,2014-01-11 13:00:00
R00270,homeA2014,S53,Thunderstorm,46.13,2014-01-11 14:00:00
R00271,homeA2014,S78,Cloudy,47.37,2014-01-11 15:00:00
R00272,homeA2014,S92,Cloudy,50.93,2014-01-11 16:00:00
R00273,homeA2014,S16,Rain,53.59,2014-01-11 17:00:00
R00274,homeA2014,S19,Windy,54.58,2014-01-11 18:00:00
R00275,homeA2014,S61,Rain,53.77,2014-01-11 19:00:00
R00276,homeA2014,S76,Cloudy,57.41,2014-01-11 20:00:00
R00277,homeA2014,S01,Rain,58.63,2014-01-11 21:00:00
R00278,homeA2014,S34,Sunny,57.9,2014-01-11 22:00:00
R00279,homeA2014,S18,Rain,56.67,2014-01-11 23:00:00
R00280,homeA2014,S31,Cloudy,56.15,2014-01-12 00:00:00
R00281,homeA2014,S24,Cloudy,53.91,2014-01-12 01:00:00
R00282,homeA2014,S15,Thunderstorm,51.84,2014-01-12 02:00:00
R00283,homeA2014,S40,Thunderstorm,50.74,2014-01-12 03:00:00
R00284,homeA2014,S29,Thunderstorm,47.02,2014-01-12 04:00:00
R00285,homeA2014,S60,Sunny,44.8,2014-01-12 05:00:00
R00286,homeA2014,S38,Cloudy,43.79,2014-01-12 06:00:00
R00287,homeA2014,S43,Sunny,42.68,2014-01-12 07:00:00
R00288,homeA2014,S55,Windy,41.61,2014-01-12 08:00:00
R00289,homeA2014,S28,Sunny,41.18,2014-01-12 09:00:00
R00290,homeA2014,S20,Cloudy,39.12,2014-01-12 10:00:00
R00291,homeA2014,S39,Windy,38.45,2014-01-12 11:00:00
R00292,homeA2014,S31,Sunny,37.57,2014-01-12 12:00:00
R00293,homeA2014,S07,Windy,37.52,2014-01-12 13:00:00
R00294,homeA2014,S36,Cloudy,37.51,2014-01-12 14:00:00
R00295,homeA2014,S32,Windy,37.66,2014-01-12 15:00:00
R00296,homeA2014,S34,Windy,37.73,2014-01-12 16:00:00
R00297,homeA2014,S57,Windy,37.86,2014-01-12 17:00:00
R00298,homeA2014,S60,Thunderstorm,37.75,2014-01-12 18:00:00
R00299,homeA2014,S73,Windy,37.93,2014-01-12 19:00:00
R00300,homeA2014,S13,Windy,37.8,2014-01-12 20:00:00
R00301,homeA2014,S12,Sunny,36.95,2014-01-12 21:00:00
R00302,homeA2014,S44,Cloudy,36.51,2014-01-12 22:00:00
R00303,homeA2014,S15,Windy,36.42,2014-01-12 23:00:00
R00304,homeA2014,S73,Cloudy,35.67,2014-01-13 00:00:00
R00305,homeA2014,S01,Windy,35.55,2014-01-13 01:00:00
R00306,homeA2014,S65,Cloudy,35.43,2014-01-13 02:00:00
R00307,homeA2014,S08,Rain,35.32,2014-01-13 03:00:00
R00308,homeA2014,S37,Sunny,34.79,2014-01-13 04:00:00
R00309,homeA2014,S37,Thunderstorm,33.93,2014-01-13 05:00:00
R00310,homeA2014,S18,Windy,32.86,2014-01-13 06:00:00
R00311,homeA2014,S05,Cloudy,31.62,2014-01-13 07:00:00
R00312,homeA2014,S55,Rain,30.49,2014-01-13 08:00:00
R00313,homeA2014,S58,Thunderstorm,27.99,2014-01-13 09:00:00
R00314,homeA2014,S91,Sunny,27.63,2014-01-13 10:00:00
R00315,homeA2014,S41,Sunny,25.99,2014-01-13 11:00:00
R00316,homeA2014,S83,Rain,26.68,2014-01-13 12:00:00
R00317,homeA2014,S09,Thunderstorm,28.25,2014-01-13 13:00:00
R00318,homeA2014,S37,Cloudy,32.14,2014-01-13 14:00:00
R00319,homeA2014,S105,Thunderstorm,36.07,2014-01-13 15:00:00
R00320,homeA2014,S67,Rain,39.94,2014-01-13 16:00:00
R00321,homeA2014,S18,Windy,45.32,2014-01-13 17:00:00
R00322,homeA2014,S18,Thunderstorm,47.5,2014-01-13 18:00:00
R00323,homeA2014,S73,Sunny,48.48,2014-01-13 19:00:00
R00324,homeA2014,S93,Sunny,47.94,2014-01-13 20:00:00
R00325,homeA2014,S85,Rain,48.22,2014-01-13 21:00:00
R00326,homeA2014,S76,Thunderstorm,46.96,2014-01-13 22:00:00
R00327,homeA2014,S38,Cloudy,46.76,2014-01-13 23:00:00
R00328,homeA2014,S68,Windy,46.26,2014-01-14 00:00:00
R00329,homeA2014,S93,Rain,46.75,2014-01-14 01:00:00
R00330,homeA2014,S16,Thunderstorm,46.46,2014-01-14 02:00:00
R00331,homeA2014,S74,Cloudy,47.52,2014-01-14 03:00:00
R00332,homeA2014,S02,Windy,46.04,2014-01-14 04:00:00
R00333,homeA2014,S41,Thunderstorm,46.49,2014-01-14 05:00:00
R00334,homeA2014,S73,Windy,45.77,2014-01-14 06:00:00
R00335,homeA2014,S103,Cloudy,47.27,2014-01-14 07:00:00
R00336,homeA2014,S58,Sunny,46.17,2014-01-14 08:00:00
R00337,homeA2014,S88,Windy,45.63,2014-01-14 09:00:00
R00338,homeA2014,S72,Cloudy,44.8,2014-01-14 10:00:00
R00339,homeA2014,S23,Thunderstorm,44.96,2014-01-14 11:00:00
R00340,homeA2014,S104,Cloudy,43.1,2014-01-14 12:00:00
R00341,homeA2014,S97,Cloudy,42.81,2014-01-14 13:00:00
R00342,homeA2014,S28,Cloudy,42.82,2014-01-14 14:00:00
R00343,homeA2014,S54,Thunderstorm,42.48,2014-01-14 15:00:00
R00344,homeA2014,S06,Thunderstorm,42.59,2014-01-14 16:00:00
R00345,homeA2014,S104,Cloudy,43.26,2014-01-14 17:00:00
R00346,homeA2014,S07,Rain,43.23,2014-01-14 18:00:00
R00347,homeA2014,S45,Sunny,43.12,2014-01-14 19:00:00
R00348,homeA2014,S33,Windy,42.59,2014-01-14 20:00:00
R00349,homeA2014,S105,Thunderstorm,42.26,2014-01-14 21:00:00
R00350,homeA2014,S41,Windy,40.98,2014-01-14 22:00:00
R00351,homeA2014,S27,Rain,40.66,2014-01-14 23:00:00
R00352,homeA2014,S88,Rain,39.38,2014-01-15 00:00:00
R00353,homeA2014,S50,Cloudy,40.18,2014-01-15 01:00:00
R00354,homeA2014,S52,Rain,39.77,2014-01-15 02:00:00
R00355,homeA2014,S75,Windy,38.71,2014-01-15 03:00:00
R00356,homeA2014,S79,Rain,37.45,2014-01-15 04:00:00
R00357,homeA2014,S92,Sunny,36.89,2014-01-15 05:00:00
R00358,homeA2014,S68,Windy,36.37,2014-01-15 06:00:00
R00359,homeA2014,S28,Windy,35.11,2014-01-15 07:00:00
R00360,homeA2014,S95,Thunderstorm,33.36,2014-01-15 08:00:00
R00361,homeA2014,S75,Cloudy,30.83,2014-01-15 09:00:00
R00362,homeA2014,S84,Sunny,28.26,2014-01-15 10:00:00
R00363,homeA2014,S103,Rain,27.41,2014-01-15 11:00:00
R00364,homeA2014,S35,Thunderstorm,26.41,2014-01-15 12:00:00
R00365,homeA2014,S88,Rain,28.17,2014-01-15 13:00:00
R00366,homeA2014,S01,Thunderstorm,31.91,2014-01-15 14:00:00
R00367,homeA2014,S87,Sunny,36.08,2014-01-15 15:00:00
R00368,homeA2014,S22,Rain,39.7,2014-01-15 16:00:00
R00369,homeA2014,S91,Cloudy,42.6,2014-01-15 17:00:00
R00370,homeA2014,S68,Cloudy,46.5,2014-01-15 18:00:00
R00371,homeA2014,S09,Sunny,46.5,2014-01-15 19:00:00
R00372,homeA2014,S77,Cloudy,46.98,2014-01-15 20:00:00
R00373,homeA2014,S98,Cloudy,45.93,2014-01-15 21:00:00
R00374,homeA2014,S09,Windy,43.56,2014-01-15 22:00:00
R00375,homeA2014,S46,Thunderstorm,41.11,2014-01-15 23:00:00
R00376,homeA2014,S84,Thunderstorm,40.39,2014-01-16 00:00:00
R00377,homeA2014,S53,Thunderstorm,41.12,2014-01-16 01:00:00
R00378,homeA2014,S08,Rain,37.5,2014-01-16 02:00:00
R00379,homeA2014,S09,Cloudy,36.95,2014-01-16 03:00:00
R00380,homeA2014,S63,Cloudy,36.37,2014-01-16 04:00:00
R00381,homeA2014,S29,Sunny,35.87,2014-01-16 05:00:00
R00382,homeA2014,S90,Windy,35.46,2014-01-16 06:00:00
R00383,homeA2014,S101,Windy,34.65,2014-01-16 07:00:00
R00384,homeA2014,S38,Rain,33.71,2014-01-16 08:00:00
R00385,homeA2014,S75,Sunny,32.15,2014-01-16 09:00:00
R00386,homeA2014,S86,Windy,31.49,2014-01-16 10:00:00
R00387,homeA2014,S07,Rain,30.49,2014-01-16 11:00:00
R00388,homeA2014,S101,Thunderstorm,30.26,2014-01-16 12:00:00
R00389,homeA2014,S101,Rain,30.24,2014-01-16 13:00:00
R00390,homeA2014,S01,Thunderstorm,30.47,2014-01-16 14:00:00
R00391,homeA2014,S61,Sunny,30.7,2014-01-16 15:00:00
R00392,homeA2014,S69,Rain,32.34,2014-01-16 16:00:00
R00393,homeA2014,S72,Rain,31.37,2014-01-16 17:00:00
R00394,homeA2014,S37,Sunny,31.31,2014-01-16 18:00:00
R00395,homeA2014,S78,Windy,31.14,2014-01-16 19:00:00
R00396,homeA2014,S14,Rain,31.09,2014-01-16 20:00:00
R00397,homeA2014,S89,Windy,31.01,2014-01-16 21:00:00
R00398,homeA2014,S53,Windy,30.83,2014-01-16 22:00:00
R00399,homeA2014,S77,Thunderstorm,30.68,2014-01-16 23:00:00
R00400,homeA2014,S67,Cloudy,30.11,2014-01-17 00:00:00
R00401,homeA2014,S50,Windy,30.33,2014-01-17 01:00:00
R00402,homeA2014,S43,Rain,30.36,2014-01-17 02:00:00
R00403,homeA2014,S20,Windy,30.01,2014-01-17 03:00:00
R00404,homeA2014,S05,Rain,29.93,2014-01-17 04:00:00
R00405,homeA2014,S43,Rain,29.82,2014-01-17 05:00:00
R00406,homeA2014,S73,Cloudy,29.83,2014-01-17 06:00:00
R00407,homeA2014,S55,Cloudy,28.24,2014-01-17 07:00:00
R00408,homeA2014,S24,Rain,27.65,2014-01-17 08:00:00
R00409,homeA2014,S39,Thunderstorm,27.48,2014-01-17 09:00:00
R00410,homeA2014,S02,Rain,25.88,2014-01-17 10:00:00
R00411,homeA2014,S62,Thunderstorm,21.99,2014-01-17 11:00:00
R00412,homeA2014,S32,Thunderstorm,22.17,2014-01-17 12:00:00
